"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/03/2023","AQS","391530017","1","5.6","ug/m3 LC","31","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/06/2023","AQS","391530017","1","6.3","ug/m3 LC","35","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/09/2023","AQS","391530017","1","14.2","ug/m3 LC","61","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/12/2023","AQS","391530017","1","10.9","ug/m3 LC","54","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/15/2023","AQS","391530017","1","12.5","ug/m3 LC","57","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/18/2023","AQS","391530017","1","9.4","ug/m3 LC","52","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/21/2023","AQS","391530017","1","3.5","ug/m3 LC","19","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/24/2023","AQS","391530017","1","14.7","ug/m3 LC","61","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/27/2023","AQS","391530017","1","5.4","ug/m3 LC","30","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
"01/30/2023","AQS","391530017","1","4.8","ug/m3 LC","27","East HS","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","10420","Akron, OH","39","Ohio","153","Summit","41.063526","-81.468956"
